coverage,path,month,index,nav,cash,cash_wealth,gross_premium,call_settlement
1.0,先跌后V形反弹,3,77.86880000000001,77.66846076712795,6.17258549030904,83.841046257437,0.02,0.0
1.0,先跌后V形反弹,4,73.97536000000001,73.40644245891797,8.23011398707872,81.63655644599669,0.02,0.0
1.0,先跌后V形反弹,5,81.37289600000001,72.93571655996855,10.287642483848401,83.22335904381696,0.02,0.1
1.0,先跌后V形反弹,6,89.51018560000001,72.4548151361702,12.345170980618082,84.79998611678828,0.02,0.1
1.0,先跌后V形反弹,7,98.46120416000002,71.96351822659406,14.402699477387763,86.36621770398182,0.02,0.1
1.0,先跌后V形反弹,8,106.33810049280004,71.46160111548926,16.460227974157444,87.9218290896467,0.02,0.08
1.0,先跌后V形反弹,9,112.71838652236805,70.94883422949941,18.517756470927125,89.46659070042654,0.02,0.06
1.0,先跌后V形反弹,10,118.35430584848646,70.42498303265741,20.575284967696806,91.00026800035421,0.02,0.05
1.0,先跌后V形反弹,11,123.08847808242592,69.88980791911034,22.632813464466487,92.52262138357682,0.02,0.04
1.0,先跌后V形反弹,12,126.7811324248987,69.34306410352542,24.690341961236168,94.03340606476159,0.02,0.03
